method,seed,metric,point_estimate,ci_95_low,ci_95_high,n_clusters,n_rows,bootstrap_reps,bootstrap_unit
clueground_legacy_paper,42,exact_union_iou,0.5359800869425534,0.5013909489908284,0.5716161675939682,170,220,2000,subject_id
clueground_legacy_paper,42,set_f1_optimal_0_3,0.7548484848484849,0.6995450257289879,0.8111174242424242,170,220,2000,subject_id
clueground_legacy_paper,42,set_f1_optimal_0_5,0.6313636363636363,0.5701339710641538,0.6952295875420875,170,220,2000,subject_id
clueground_legacy_paper,2026,coverage_iou,0.5343796394381561,0.49652284095357785,0.5691423492630444,170,220,2000,subject_id
clueground_legacy_paper,2026,exact_union_iou,0.534619076469513,0.4986332082859983,0.5688955219458338,170,220,2000,subject_id
clueground_legacy_paper,2026,set_f1_optimal_0_3,0.7745454545454545,0.7263153870915822,0.8213762521220975,170,220,2000,subject_id
clueground_legacy_paper,2026,set_f1_optimal_0_5,0.6025757575757575,0.5321616499335786,0.6684602430947542,170,220,2000,subject_id
medgrounder,13,coverage_iou,0.5367340852423311,0.5032387005817911,0.5724609571168827,170,220,2000,subject_id
medgrounder,13,exact_union_iou,0.5348964501428101,0.5007320727321659,0.5706925179360262,170,220,2000,subject_id
medgrounder,13,set_f1_optimal_0_3,0.8130303030303031,0.7560349462365592,0.8697878448396583,170,220,2000,subject_id
medgrounder,13,set_f1_optimal_0_5,0.6237878787878789,0.5556856996730415,0.6906197311460469,170,220,2000,subject_id
medgrounder,42,coverage_iou,0.5345220970352821,0.4969952367900774,0.5681170776799044,170,220,2000,subject_id
medgrounder,42,exact_union_iou,0.5292686174561809,0.49173071567084936,0.5635348554104546,170,220,2000,subject_id
medgrounder,42,set_f1_optimal_0_3,0.7907575757575758,0.7229067155462109,0.8513127240143368,170,220,2000,subject_id
medgrounder,42,set_f1_optimal_0_5,0.5987878787878789,0.526011929268393,0.6657558308711613,170,220,2000,subject_id
medgrounder,2026,coverage_iou,0.529747007427495,0.4934439420523589,0.5656138512447152,170,220,2000,subject_id
medgrounder,2026,exact_union_iou,0.5261919952889387,0.48962403538233756,0.5631121450856922,170,220,2000,subject_id
medgrounder,2026,set_f1_optimal_0_3,0.7983333333333333,0.7356707390106599,0.8575379247572816,170,220,2000,subject_id
medgrounder,2026,set_f1_optimal_0_5,0.598030303030303,0.5301868460388639,0.6661979166666666,170,220,2000,subject_id
reranker_aux_valalpha,13,coverage_iou,0.542045167843279,0.5073003674156673,0.5791306437090188,170,220,2000,subject_id
reranker_aux_valalpha,13,exact_union_iou,0.5454788332834505,0.5118688830978305,0.5811500343082052,170,220,2000,subject_id
reranker_aux_valalpha,13,set_f1_optimal_0_3,0.7912121212121211,0.7438659233847913,0.8385185185185184,170,220,2000,subject_id
reranker_aux_valalpha,13,set_f1_optimal_0_5,0.6434848484848484,0.5835579877112135,0.704167605105105,170,220,2000,subject_id
reranker_aux_valalpha,42,coverage_iou,0.5491909625842875,0.5140615617011101,0.5870343522958617,170,220,2000,subject_id
reranker_aux_valalpha,42,exact_union_iou,0.5527697747776951,0.5178772706792324,0.5899989377543814,170,220,2000,subject_id
reranker_aux_valalpha,42,set_f1_optimal_0_3,0.816969696969697,0.7697960876369327,0.8623255813953488,170,220,2000,subject_id
reranker_aux_valalpha,42,set_f1_optimal_0_5,0.6480303030303031,0.5799373091832185,0.7156999898404958,170,220,2000,subject_id
